ds,y
2022-01-28,6326
2022-01-29,10072
2022-01-30,12526
2022-01-31,11738
2022-02-01,8871
2022-02-02,6180
2022-02-03,8600
2022-02-04,6749
2022-02-05,12500
2022-02-06,19439
2022-02-07,12885
2022-02-08,8052
2022-02-09,4678
2022-02-10,6438
2022-02-11,6110
2022-02-12,9986
2022-02-13,12344
2022-02-14,10273
2022-02-15,6750
2022-02-16,4526
2022-02-17,6458
2022-02-18,4549
2022-02-19,10845
2022-02-20,13085
2022-02-21,10484
2022-02-22,7083
2022-02-23,5429
2022-02-24,8135
2022-02-25,6103
2022-02-26,12833
2022-02-27,13269
2022-02-28,10350
2022-03-01,7615
2022-03-02,5498
2022-03-03,6858
2022-03-04,5145
2022-03-05,12370
2022-03-06,14344
2022-03-07,10019
2022-03-08,7406
2022-03-09,4551
2022-03-10,7244
2022-03-11,5594
2022-03-12,13130
2022-03-13,13230
2022-03-14,10816
2022-03-15,11684
2022-03-16,7024
2022-03-17,8651
2022-03-18,5983
2022-03-19,13230
2022-03-20,13553
2022-03-21,9470
2022-03-22,7521
2022-03-23,5270
2022-03-24,94740
2022-03-25,15099
2022-03-26,14265
2022-03-27,13965
2022-03-28,9831
2022-03-29,22322
2022-03-30,7698
2022-03-31,6631
2022-04-01,4995
2022-04-02,14960
2022-04-03,11842
2022-04-04,9725
2022-04-05,7452
2022-04-06,6277
2022-04-07,7736
2022-04-08,7116
2022-04-09,12580
2022-04-10,11626
2022-04-11,10121
2022-04-12,8038
2022-04-13,7203
2022-04-14,7903
2022-04-15,7868
2022-04-16,12153
2022-04-17,11486
2022-04-18,9168
2022-04-19,8127
2022-04-20,6750
2022-04-21,6645
2022-04-22,7119
2022-04-23,14696
2022-04-24,10013
2022-04-25,8142
2022-04-26,6958
2022-04-27,5134
2022-04-28,5417
2022-04-29,5820
2022-04-30,10650
2022-05-01,8197
2022-05-02,5300
2022-05-03,5050
2022-05-04,4665
2022-05-05,4336
2022-05-06,5697
2022-05-07,7181
2022-05-08,7869
2022-05-09,7693
2022-05-10,5923
2022-05-11,4834
2022-05-12,6196
2022-05-13,5444
2022-05-14,9546
2022-05-15,7143
2022-05-16,8287
2022-05-17,5156
2022-05-18,5214
2022-05-19,5123
2022-05-20,5525
2022-05-21,9816
2022-05-22,7879
2022-05-23,6987
2022-05-24,5980
2022-05-25,4864
2022-05-26,4288
2022-05-27,4584
2022-05-28,8945
2022-05-29,6982
2022-05-30,6853
2022-05-31,5196
2022-06-01,4719
2022-06-02,5287
2022-06-03,6270
2022-06-04,23370
2022-06-05,7066
2022-06-06,6670
2022-06-07,23470
2022-06-08,7554
2022-06-09,7711
2022-06-10,7500
2022-06-11,24581
2022-06-12,8299
2022-06-13,7988
2022-06-14,20487
2022-06-15,6603
2022-06-16,6480
2022-06-17,6802
2022-06-18,9209
2022-06-19,14286
2022-06-20,8035
2022-06-21,8304
2022-06-22,8166
2022-06-23,7028
2022-06-24,7660
2022-06-25,7161
2022-06-26,7434
2022-06-27,6593
2022-06-28,6843
2022-06-29,6143
2022-06-30,6859
2022-07-01,7541
2022-07-02,8655
2022-07-03,8133
2022-07-04,6299
2022-07-05,6555
2022-07-06,5715
2022-07-07,7384
2022-07-08,11485
2022-07-09,8236
2022-07-10,7300
2022-07-11,5805
2022-07-12,6249
2022-07-13,6374
2022-07-14,9856
2022-07-15,9472
2022-07-16,12222
2022-07-17,7709
2022-07-18,5788
2022-07-19,6078
2022-07-20,5608
2022-07-21,7238
2022-07-22,7194
2022-07-23,6094
2022-07-24,5735
2022-07-25,5137
2022-07-26,5611
2022-07-27,5529
2022-07-28,7301
2022-07-29,6873
2022-07-30,6870
2022-07-31,6062
2022-08-01,4606
2022-08-02,3691
2022-08-03,3456
2022-08-04,4773
2022-08-05,3538
2022-08-06,3869
2022-08-07,4044
2022-08-08,3418
2022-08-09,3902
2022-08-10,3510
2022-08-11,4091
2022-08-12,3593
2022-08-13,3985
2022-08-14,4591
2022-08-15,3425
2022-08-16,3409
2022-08-17,3002
2022-08-18,5052
2022-08-19,2800
2022-08-20,3409
2022-08-21,3629
2022-08-22,3432
2022-08-23,3784
2022-08-24,3795
2022-08-25,6887
2022-08-26,3763
2022-08-27,3383
2022-08-28,3867
2022-08-29,3130
2022-08-30,3437
2022-08-31,3192
2022-09-01,2962
2022-09-02,4230
2022-09-03,16100
2022-09-04,24503
2022-09-05,9291
2022-09-06,4132
2022-09-07,4489
2022-09-08,3789
2022-09-09,4087
2022-09-10,11691
2022-09-11,16809
2022-09-12,6477
2022-09-13,3595
2022-09-14,3813
2022-09-15,3234
2022-09-16,3758
2022-09-17,11215
2022-09-18,15675
2022-09-19,12540
2022-09-20,12006
2022-09-21,6770
2022-09-22,37041
2022-09-23,4130
2022-09-24,11201
2022-09-25,30701
2022-09-26,9113
2022-09-27,9321
2022-09-28,6109
2022-09-29,3578
2022-09-30,3837
2022-10-01,9851
2022-10-02,18370
2022-10-03,21845
2022-10-04,14289
2022-10-05,7472
2022-10-06,3905
2022-10-07,4624
2022-10-08,10158
2022-10-09,15587
2022-10-10,14972
2022-10-11,12872
2022-10-12,5967
2022-10-13,3613
2022-10-14,3784
2022-10-15,9418
2022-10-16,15510
2022-10-17,13602
2022-10-18,10148
2022-10-19,5629
2022-10-20,3483
2022-10-21,3810
2022-10-22,9715
2022-10-23,13083
2022-10-24,12888
2022-10-25,8978
2022-10-26,5021
2022-10-27,3226
2022-10-28,3982
2022-10-29,9594
2022-10-30,13579
2022-10-31,12534
2022-11-01,9745
2022-11-02,4961
2022-11-03,3162
2022-11-04,3662
2022-11-05,9309
2022-11-06,12750
2022-11-07,13169
2022-11-08,10858
2022-11-09,5625
2022-11-10,3428
2022-11-11,3783
2022-11-12,8908
2022-11-13,15678
2022-11-14,11222
2022-11-15,6982
2022-11-16,21860
2022-11-17,4538
2022-11-18,5268
2022-11-19,17206
2022-11-20,56158
2022-11-21,80183
2022-11-22,85853
2022-11-23,49879
2022-11-24,73874
2022-11-25,34920
2022-11-26,53486
2022-11-27,46405
2022-11-28,44361
2022-11-29,23174
2022-11-30,25093
2022-12-01,18552
2022-12-02,19653
2022-12-03,23880
2022-12-04,22455
2022-12-05,24216
2022-12-06,29512
2022-12-07,5888
2022-12-08,5312
2022-12-09,54407
2022-12-10,84163
2022-12-11,10624
2022-12-12,12754
2022-12-13,62711
2022-12-14,60776
2022-12-15,5556
2022-12-16,5067
2022-12-17,20973
2022-12-18,288594
2022-12-19,14843
2022-12-20,11435
2022-12-21,6671
2022-12-22,5166
2022-12-23,4944
2022-12-24,8826
2022-12-25,11807
2022-12-26,11017
2022-12-27,9256
2022-12-28,5958
2022-12-29,4158
2022-12-30,4121
2022-12-31,7068
2023-01-01,13652
2023-01-02,10170
2023-01-03,8407
2023-01-04,5538
2023-01-05,4028
2023-01-06,4207
2023-01-07,9459
2023-01-08,14485
2023-01-09,12893
2023-01-10,8466
2023-01-11,5415
2023-01-12,4180
2023-01-13,4254
2023-01-14,8197
2023-01-15,11329
2023-01-16,10524
2023-01-17,9702
2023-01-18,5790
2023-01-19,8877
2023-01-20,5302
2023-01-21,9290
2023-01-22,11402
2023-01-23,11195
2023-01-24,8950
2023-01-25,5678
2023-01-26,6832
2023-01-27,6111
2023-01-28,10419
2023-01-29,12051
2023-01-30,11903
2023-01-31,9355
2023-02-01,6606
2023-02-02,8867
2023-02-03,5721
2023-02-04,10953
2023-02-05,16152
2023-02-06,20376
2023-02-07,10139
2023-02-08,6781
2023-02-09,5587
2023-02-10,5050
2023-02-11,5402
2023-02-12,5341
2023-02-13,4480
2023-02-14,4011
2023-02-15,5784
2023-02-16,4706
2023-02-17,3446
2023-02-18,4366
2023-02-19,4362
2023-02-20,5861
2023-02-21,3938
2023-02-22,3254
2023-02-23,4018
2023-02-24,3717
2023-02-25,6864
2023-02-26,8125
2023-02-27,7803
2023-02-28,6561
2023-03-01,4181
