ds,y
2022-05-18,195388
2022-05-19,177913
2022-05-20,168492
2022-05-21,276493
2022-05-22,243257
2022-05-23,250633
2022-05-24,225628
2022-05-25,172962
2022-05-26,163347
2022-05-27,156242
2022-05-28,295457
2022-05-29,265382
2022-05-30,251259
2022-05-31,174574
2022-06-01,137421
2022-06-02,160163
2022-06-03,160784
2022-06-04,530214
2022-06-05,192183
2022-06-06,144033
2022-06-07,542670
2022-06-08,176405
2022-06-09,148535
2022-06-10,143419
2022-06-11,567214
2022-06-12,182820
2022-06-13,171019
2022-06-14,543874
2022-06-15,163328
2022-06-16,114285
2022-06-17,129604
2022-06-18,137801
2022-06-19,135987
2022-06-20,116164
2022-06-21,165710
2022-06-22,129720
2022-06-23,120028
2022-06-24,146821
2022-06-25,120659
2022-06-26,112572
2022-06-27,130158
2022-06-28,138028
2022-06-29,127250
2022-06-30,143955
2022-07-01,190118
2022-07-02,175727
2022-07-03,144543
2022-07-04,111311
2022-07-05,128802
2022-07-06,112353
2022-07-07,135337
2022-07-08,154128
2022-07-09,156288
2022-07-10,122546
2022-07-11,91431
2022-07-12,92550
2022-07-13,108188
2022-07-14,216837
2022-07-15,187104
2022-07-16,324931
2022-07-17,186439
2022-07-18,110565
2022-07-19,114796
2022-07-20,119526
2022-07-21,160731
2022-07-22,143232
2022-07-23,119843
2022-07-24,108935
2022-07-25,105986
2022-07-26,113154
2022-07-27,125443
2022-07-28,149311
2022-07-29,132369
2022-07-30,141974
2022-07-31,114762
2022-08-01,100968
2022-08-02,107303
2022-08-03,104583
2022-08-04,143060
2022-08-05,118365
2022-08-06,113772
2022-08-07,112303
2022-08-08,106134
2022-08-09,116242
2022-08-10,107246
2022-08-11,130428
2022-08-12,110644
2022-08-13,113400
2022-08-14,120610
2022-08-15,104872
2022-08-16,109719
2022-08-17,103249
2022-08-18,201614
2022-08-19,97885
2022-08-20,108975
2022-08-21,107754
2022-08-22,99741
2022-08-23,108846
2022-08-24,107078
2022-08-25,231210
2022-08-26,121329
2022-08-27,102208
2022-08-28,114956
2022-08-29,100943
2022-08-30,115549
2022-08-31,103348
2022-09-01,96174
2022-09-02,117611
2022-09-03,289404
2022-09-04,334405
2022-09-05,180078
2022-09-06,128195
2022-09-07,130004
2022-09-08,121009
2022-09-09,123185
2022-09-10,257213
2022-09-11,275095
2022-09-12,158837
2022-09-13,135629
2022-09-14,126475
2022-09-15,113176
2022-09-16,135481
2022-09-17,270404
2022-09-18,281685
2022-09-19,260022
2022-09-20,216697
2022-09-21,162812
2022-09-22,967148
2022-09-23,193616
2022-09-24,287378
2022-09-25,918440
2022-09-26,280619
2022-09-27,227473
2022-09-28,190712
2022-09-29,132669
2022-09-30,134259
2022-10-01,298901
2022-10-02,377256
2022-10-03,373277
2022-10-04,292000
2022-10-05,217638
2022-10-06,147681
2022-10-07,168398
2022-10-08,284850
2022-10-09,365947
2022-10-10,346751
2022-10-11,387806
2022-10-12,186797
2022-10-13,149587
2022-10-14,139810
2022-10-15,288772
2022-10-16,362686
2022-10-17,346773
2022-10-18,279198
2022-10-19,185424
2022-10-20,137767
2022-10-21,142266
2022-10-22,287619
2022-10-23,321939
2022-10-24,354301
2022-10-25,249436
2022-10-26,170756
2022-10-27,141628
2022-10-28,147435
2022-10-29,295841
2022-10-30,338629
2022-10-31,356259
2022-11-01,307897
2022-11-02,185092
2022-11-03,145687
2022-11-04,146243
2022-11-05,312577
2022-11-06,335111
2022-11-07,377163
2022-11-08,320598
2022-11-09,189975
2022-11-10,158093
2022-11-11,140045
2022-11-12,283274
2022-11-13,400477
2022-11-14,338023
2022-11-15,228515
2022-11-16,627910
2022-11-17,160816
2022-11-18,159956
2022-11-19,516905
2022-11-20,1030758
2022-11-21,1661779
2022-11-22,1988240
2022-11-23,1526459
2022-11-24,2018581
2022-11-25,1432137
2022-11-26,1629060
2022-11-27,1549659
2022-11-28,1795642
2022-11-29,1265680
2022-11-30,1192654
2022-12-01,1106799
2022-12-02,1044541
2022-12-03,1152785
2022-12-04,1093198
2022-12-05,1346020
2022-12-06,1554218
2022-12-07,378380
2022-12-08,233478
2022-12-09,2119775
2022-12-10,2892732
2022-12-11,815443
2022-12-12,419366
2022-12-13,1850447
2022-12-14,2086526
2022-12-15,415705
2022-12-16,205258
2022-12-17,864160
2022-12-18,4394849
2022-12-19,549049
2022-12-20,385940
2022-12-21,247787
2022-12-22,271688
2022-12-23,203689
2022-12-24,288156
2022-12-25,334809
2022-12-26,378395
2022-12-27,310593
2022-12-28,258346
2022-12-29,197141
2022-12-30,161741
2022-12-31,248717
2023-01-01,390537
2023-01-02,335880
2023-01-03,315158
2023-01-04,219595
2023-01-05,174108
2023-01-06,165322
2023-01-07,272071
2023-01-08,400039
2023-01-09,377773
2023-01-10,296501
2023-01-11,212546
2023-01-12,173290
2023-01-13,180133
2023-01-14,268240
2023-01-15,331635
2023-01-16,353676
2023-01-17,312870
2023-01-18,231622
2023-01-19,292832
2023-01-20,188956
2023-01-21,287682
2023-01-22,317068
2023-01-23,348681
2023-01-24,283479
2023-01-25,195310
2023-01-26,211963
2023-01-27,188735
2023-01-28,289212
2023-01-29,316115
2023-01-30,355190
2023-01-31,282157
2023-02-01,225813
2023-02-02,223189
2023-02-03,174114
